"","start_month","mean_normed","num","se"
"1",0,1,76450,0
"2",1,1.11199078009128,47987,0.00244185849989539
"3",2,1.18499637916233,40100,0.00317532417954777
"4",3,1.24800850769807,35151,0.00398015975779084
"5",4,1.3041015725846,31754,0.00453751786415581
"6",5,1.34619227067265,28830,0.00496621911092679
"7",6,1.40153549263733,26088,0.00629878527305102
"8",7,1.43637491514491,24077,0.00683471601405438
"9",8,1.46984875360732,22097,0.00707395323084725
"10",9,1.49941975133651,20307,0.0075334964051894
"11",10,1.53493238746695,18797,0.00814657203636137
"12",11,1.56672251312447,17399,0.0095202176174252
"13",12,1.60285797129425,16035,0.00937211276306845
"14",13,1.63641843538979,14685,0.0116422952043661
"15",14,1.66967370986844,13350,0.0129302152643192
"16",15,1.68063453466043,12145,0.013690534533108
"17",16,1.69306714604508,11117,0.0122386970500907
"18",17,1.72087542016847,10266,0.013988642540635
"19",18,1.74514104188664,9234,0.01457472008387
"20",19,1.75282051682762,8427,0.0154723237316461
"21",20,1.76623341218126,7593,0.0158603041788552
"22",21,1.78009441060453,6826,0.0164611744266318
"23",22,1.79911625778719,6149,0.0169694021950805
"24",23,1.83750807436224,5485,0.019288172027127
"25",24,1.85995912996781,4888,0.0230350439712147
"26",25,1.87289241807216,4368,0.0228210727129082
"27",26,1.88744358179938,3795,0.0258322057487612
"28",27,1.90181422431455,3306,0.0314474100854444
"29",28,1.90312053919906,2933,0.0287006272402416
"30",29,1.92124036626149,2481,0.0321231291105021
"31",30,1.89262227259733,2043,0.0314725415328345
"32",31,1.88707216851112,1658,0.0316767723815074
"33",32,1.85020679590532,1314,0.0337540354382221
"34",33,1.87487838984825,967,0.0407979631924576
"35",34,1.8821525763266,666,0.0492795178530229
"36",35,1.89738327539684,323,0.0790265131956014
