,Argentina,Armenia,Australia,Bangladesh,Belarus,Bolivia,Brazil,Bulgaria,Canada,China,Colombia,Croatia,Czech Republic,Dominican Republic,Egypt,France,Germany,Greece,Hungary,India,Indonesia,Ireland,Israel,Italy,Jamaica,Kenya,Kyrgyzstan,Macedonia,Malaysia,Mexico,Moldova,Morocco,Nepal,Netherlands,New Zealand,Pakistan,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia,Serbia,Singapore,South Africa,Spain,Sri Lanka,Sweden,Thailand,Tunisia,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Venezuela,Vietnam,Grand Total
0,345.442307692307,317.538461538461,389.923076923077,13784.9423076923,463.115384615384,250.403846153846,147.76923076923,295.75,576.51923076923,915.769230769229,161,102.596153846154,47.2692307692307,20.7692307692307,598.673076923077,84.1730769230766,93.8461538461537,79.9230769230767,75.826923076923,17496.0769230769,779.115384615381,27.5384615384615,106.923076923077,122.307692307692,82.9038461538459,509.192307692307,93.5384615384613,147.846153846153,337.730769230769,176.903846153846,218.51923076923,110.26923076923,344.51923076923,58.2692307692308,135.403846153846,10001.2307692307,78.6923076923073,52372.4615384615,211.692307692307,86.4615384615382,28.9038461538461,749.461538461536,3771.51923076923,140.807692307692,132.884615384615,177.615384615384,125.384615384615,751.134615384614,129.903846153846,95.480769230769,207.384615384615,3909.69230769231,152.596153846154,530.615384615384,4268.88461538461,77.6346153846152,63.4230769230768,542.173076923076,118104.346153846
1,263.557692307692,232,307.384615384615,11543.0961538461,344.673076923077,152.25,100.480769230769,217.192307692307,527.153846153846,719.192307692306,95.9230769230767,78.3269230769229,22.75,13.7884615384615,520.788461538461,63.1730769230768,65.5192307692306,61.4038461538459,56.9999999999999,13499.5576923076,655.865384615383,17.0576923076923,77.9038461538458,75.6923076923075,64.7884615384614,360.442307692307,82.4230769230766,121.153846153846,294.884615384615,143.730769230769,140.153846153846,73.0192307692306,249.480769230769,51.8461538461538,112.038461538461,8751.53846153843,63.153846153846,45192.0192307692,116.115384615384,59.75,18.826923076923,511.75,2933.25,93.2692307692304,100.25,129.961538461538,84.5961538461536,590.826923076923,97.1538461538457,85.2884615384613,144.25,2855.32692307692,121.288461538461,392.826923076923,3535.51923076923,62.6730769230768,38.3653846153846,392.461538461538,97776.1538461536
2,177.76923076923,158.230769230769,257.634615384615,8508.28846153844,273.653846153846,90.4615384615382,77.9230769230768,133.211538461538,500.307692307692,583.307692307691,55.576923076923,57.3846153846154,14.4038461538461,9.69230769230765,413.634615384615,49.6538461538461,46.0576923076923,42.5961538461538,49.6730769230769,10474.9038461538,546.75,12.75,50.1730769230769,49.3076923076923,54.8461538461537,236.384615384615,65.2692307692306,90.3653846153844,251.461538461538,112.461538461538,92.3846153846151,46.4615384615384,178.192307692307,51.5,77.730769230769,7211.82692307691,54.3653846153846,39214.8269230769,67.076923076923,41.9807692307692,12.1538461538461,340.923076923076,2214.80769230769,59.6346153846153,80.057692307692,85.980769230769,61.557692307692,467.538461538461,67.7499999999999,72.4423076923074,99.1730769230766,2052.07692307692,107.26923076923,363.096153846154,2998.21153846154,48.4423076923076,28.75,264.692307692307,79905.0384615384
3,128.307692307692,103.826923076923,225.980769230769,5919.38461538461,212.538461538461,56.1346153846153,68.8461538461538,87.4038461538459,498.653846153846,485.576923076923,33.5384615384615,47.5384615384615,12.9807692307692,9.40384615384614,337.346153846154,45.5,36.3076923076923,28.1346153846154,47.3461538461538,8475.88461538459,468.25,11.1538461538461,34.5576923076923,37.3653846153846,57.8846153846152,177.480769230769,48.0192307692306,63.9807692307691,205.980769230769,91.2692307692306,66.0961538461537,31.076923076923,144.615384615384,55.8076923076923,51.9423076923076,5737.88461538461,49.3846153846154,34907.7884615384,48.4038461538461,25.9423076923076,13.9807692307692,253.230769230769,1694.38461538461,41.076923076923,66.3846153846153,65.4423076923075,49.1153846153846,406.480769230769,48.4807692307692,63.153846153846,77.2692307692305,1517.17307692307,93.230769230769,315.480769230769,2710.11538461538,40.4423076923077,23.8846153846154,193.25,66848.096153846
4,77.5961538461536,65.8269230769229,201.5,4250.78846153846,176.307692307692,41.9615384615384,61.8076923076922,59.2115384615383,507.076923076923,411.5,30.5384615384615,43.5192307692307,13.6538461538461,11.9807692307692,284.5,54.076923076923,40.8653846153846,21.6730769230769,62.8076923076922,7504.30769230766,425.173076923077,8.59615384615381,27.3461538461538,33.5,52.7499999999999,146.038461538461,38.7115384615384,49.6538461538461,159.326923076923,89.6923076923075,57.6923076923076,22.326923076923,132.173076923076,53.7884615384615,40.4615384615384,4682.28846153846,43.4230769230769,32757.9038461538,50.1923076923077,16.9807692307692,25.2884615384615,206.884615384615,1342.28846153846,31.0576923076923,56.5961538461537,70.653846153846,49.9038461538461,386.346153846154,42.0961538461538,52.6538461538461,61.8653846153845,1282.25,88.3653846153843,304.826923076923,2890.67307692307,34.6538461538461,24.2307692307692,176.923076923077,59937.0769230768
5,76.5961538461536,87.2884615384614,188.5,3428.4423076923,167.461538461538,47.6923076923076,56.2884615384614,58.5961538461537,554.730769230769,378.788461538461,44.826923076923,42.8846153846154,17.4615384615384,23.9615384615384,241.5,76.7692307692306,62.0192307692307,20.6538461538461,84.1346153846152,6953.78846153844,474.25,13.7884615384615,22.2884615384615,36.576923076923,52.7115384615384,158.423076923076,35.6923076923077,37.2307692307692,125.057692307692,93.5961538461536,57.6730769230769,19.9230769230769,116.75,55.6538461538461,41.4038461538461,4088.55769230769,36.6730769230769,32463.0192307692,98.3461538461537,13.576923076923,41.9038461538461,192.961538461538,1175.05769230769,26.4423076923076,55.5,114.192307692308,50.3076923076923,416.75,45.8846153846153,45.3461538461538,53.6923076923077,1292.03846153846,94.4038461538458,336.25,3687.1923076923,28.4038461538461,37.7307692307692,176.75,58524.3846153845
6,107.923076923077,102.903846153846,213.057692307692,3490.59615384615,172.153846153846,68.9423076923075,67.2692307692305,105.884615384615,676.576923076921,371.615384615384,108.403846153846,44.9038461538461,24.0192307692307,57.7884615384614,215.557692307692,97.8653846153843,82.5769230769228,32.75,110.51923076923,7115.23076923074,499.153846153846,29.9423076923076,30.2115384615384,53.75,61.2692307692307,211.942307692307,33,31.3846153846154,106.826923076923,114.326923076923,82.9038461538459,19.2115384615384,119.865384615384,68.3076923076921,56.4999999999999,3863,41.0384615384615,34571.6538461538,253.596153846154,14.576923076923,75.6730769230766,234.653846153846,1251.57692307692,49.9423076923077,59.5192307692307,154.307692307692,65.8461538461537,500.942307692307,49.5192307692307,46.2115384615384,54.8846153846154,1574.57692307692,108.307692307692,422.019230769231,5420.15384615384,27.8653846153846,61.826923076923,206.307692307692,63893.1346153846
7,134.865384615384,126.01923076923,287.634615384615,4523.51923076923,233.634615384615,120.653846153846,118.307692307692,152.057692307692,936.980769230767,435.346153846154,220.134615384615,64.3269230769229,37.5961538461538,74.4230769230766,226.519230769231,131.038461538461,107.25,56.3461538461538,151.884615384615,8850.01923076919,505.557692307692,60.5961538461536,51.6346153846154,105.730769230769,90.6730769230767,316.134615384615,31.1346153846154,42.7884615384615,127.711538461538,180.173076923077,157.942307692307,36.4423076923077,158.134615384615,84.4230769230766,90.9038461538458,4111.61538461538,59.2692307692306,39074.4038461538,666.01923076923,41.1153846153846,119.961538461538,332.307692307692,1858.84615384615,123.192307692307,69.5769230769228,182.076923076923,150.230769230769,674.057692307692,69.0384615384614,58.826923076923,59.9230769230769,2360.07692307692,130.269230769231,559.903846153846,8977.09615384615,39.3846153846154,110.961538461538,285.980769230769,79142.673076923
8,312.230769230769,192.346153846153,565.096153846153,6128.15384615384,444.153846153846,321.673076923076,302.653846153846,239.903846153846,1300.86538461538,776.749999999998,367.230769230769,104.115384615384,55.4230769230768,90.2884615384612,263.211538461538,227.980769230769,164.769230769231,97.3461538461537,201.134615384615,13064.3653846153,709.134615384613,94.3461538461536,91.7499999999997,205.692307692307,157.461538461538,479.288461538461,39.8461538461538,76.7692307692305,162.596153846154,283.480769230769,432.403846153846,55.1346153846153,244.75,102.942307692307,124.653846153846,4994.4423076923,97.4038461538459,46064.8846153846,1134.40384615384,86.307692307692,155.461538461538,522.384615384615,3429.5,246.442307692307,87.4999999999997,281.980769230769,369.576923076923,1007.5,93.3846153846152,95.134615384615,79.3653846153843,4403.30769230769,148.634615384615,856.653846153845,13509.5,110.923076923077,230.942307692307,661.692307692304,107147.269230769
9,797.403846153844,353.442307692307,828.788461538459,8775.01923076921,749.730769230767,822.153846153844,457.153846153846,345.75,1652.30769230769,1855.73076923077,541.384615384615,168.942307692308,80.9038461538459,125.596153846154,363.942307692307,346.961538461538,230.442307692307,146.326923076923,226.865384615384,27239.9423076923,917.423076923074,122.653846153846,126.942307692307,312.788461538461,207.211538461538,644.442307692306,58.326923076923,111.423076923077,229.096153846154,368.519230769231,728.057692307689,68.4615384615383,390.134615384615,138.51923076923,142.173076923077,6888.8846153846,171.75,53166.3653846153,1545.30769230769,145.153846153846,168.634615384615,733.749999999998,5600.19230769229,336.211538461538,103.538461538461,370.615384615384,553.846153846152,1292.15384615384,122.057692307692,127.807692307692,120.961538461538,7174.74999999998,188.865384615384,1171.03846153846,16857.2692307692,303.961538461538,393.730769230769,1076.34615384615,149288.153846154
