Country,Day,Hour,Workers
Armenia,0,10,18.8846153846
Armenia,0,11,28.25
Armenia,0,12,35.5576923077
Armenia,0,13,42.1730769231
Armenia,0,14,45.4615384615
Armenia,0,15,45.5576923077
Armenia,0,16,46.8076923077
Armenia,0,17,47.5384615385
Armenia,0,18,47.8846153846
Armenia,0,19,48.3269230769
Armenia,0,20,45.9230769231
Armenia,0,21,46.2884615385
Armenia,0,22,46.5576923077
Armenia,0,23,42.0384615385
Armenia,1,0,38.3653846154
Armenia,1,1,28
Armenia,1,2,20.25
Armenia,1,3,13.0576923077
Armenia,1,4,5.6730769231
Armenia,1,5,9.9230769231
Armenia,1,6,13.8076923077
Armenia,1,7,17
Armenia,1,8,29.6730769231
Armenia,1,9,57.9423076923
Armenia,1,10,90
Armenia,1,11,113.2115384615
Armenia,1,12,131.8653846154
Armenia,1,13,142.5769230769
Armenia,1,14,143.6923076923
Armenia,1,15,143.6153846154
Armenia,1,16,140.6730769231
Armenia,1,17,134.2692307692
Armenia,1,18,124.4615384615
Armenia,1,19,107.0576923077
Armenia,1,20,89.1538461538
Armenia,1,21,75.9230769231
Armenia,1,22,65.1730769231
Armenia,1,23,57.0192307692
Armenia,2,0,43.6538461538
Armenia,2,1,30.0961538462
Armenia,2,2,20.3076923077
Armenia,2,3,11.2115384615
Armenia,2,4,8.0192307692
Armenia,2,5,14.25
Armenia,2,6,17.2115384615
Armenia,2,7,20.9038461538
Armenia,2,8,33.1923076923
Armenia,2,9,64.5192307692
Armenia,2,10,97.3461538462
Armenia,2,11,122.5576923077
Armenia,2,12,138.2884615385
Armenia,2,13,144.5576923077
Armenia,2,14,148.7115384615
Armenia,2,15,153.1730769231
Armenia,2,16,149.2884615385
Armenia,2,17,140.9038461538
Armenia,2,18,129.8653846154
Armenia,2,19,111.5769230769
Armenia,2,20,84.9615384615
Armenia,2,21,73.6153846154
Armenia,2,22,66.5576923077
Armenia,2,23,59.5769230769
Armenia,3,0,47.2115384615
Armenia,3,1,34.2692307692
Armenia,3,2,22.7115384615
Armenia,3,3,14.4423076923
Armenia,3,4,9.7692307692
Armenia,3,5,13.9615384615
Armenia,3,6,17.4807692308
Armenia,3,7,22.9423076923
Armenia,3,8,36.2692307692
Armenia,3,9,64.8076923077
Armenia,3,10,99.7692307692
Armenia,3,11,125.6923076923
Armenia,3,12,141.0576923077
Armenia,3,13,147.8846153846
Armenia,3,14,149.5961538462
Armenia,3,15,153.9807692308
Armenia,3,16,150.1538461538
Armenia,3,17,146.2692307692
Armenia,3,18,131.5
Armenia,3,19,109.3076923077
Armenia,3,20,92.7884615385
Armenia,3,21,76.9038461538
Armenia,3,22,70.9615384615
Armenia,3,23,58.9807692308
Armenia,4,0,45.8846153846
Armenia,4,1,35.2884615385
Armenia,4,2,23
Armenia,4,3,15.5
Armenia,4,4,10.5
Armenia,4,5,13.8076923077
Armenia,4,6,16.7692307692
Armenia,4,7,23.2692307692
Armenia,4,8,33.2307692308
Armenia,4,9,63.6153846154
Armenia,4,10,99.6153846154
Armenia,4,11,127.3076923077
Armenia,4,12,143.5769230769
Armenia,4,13,150.3461538462
Armenia,4,14,153.5192307692
Armenia,4,15,158.1153846154
Armenia,4,16,151.0192307692
Armenia,4,17,147.8653846154
Armenia,4,18,133.25
Armenia,4,19,109.5576923077
Armenia,4,20,87.8076923077
Armenia,4,21,72.6730769231
Armenia,4,22,70.2692307692
Armenia,4,23,63.9038461538
Armenia,5,0,55.6730769231
Armenia,5,1,39.4230769231
Armenia,5,2,24.1923076923
Armenia,5,3,16
Armenia,5,4,10.4807692308
Armenia,5,5,15.8269230769
Armenia,5,6,18.7884615385
Armenia,5,7,21.7307692308
Armenia,5,8,33.6923076923
Armenia,5,9,60.3653846154
Armenia,5,10,91.6730769231
Armenia,5,11,120
Armenia,5,12,140.0961538462
Armenia,5,13,141.2115384615
Armenia,5,14,144.7884615385
Armenia,5,15,149.9807692308
Armenia,5,16,145.8461538462
